run,environment,distance,experiment,rx_label,tx_label,mean,trim_mean,median,std,dis1,dis2,dis21,conteo,cv,q1,q3,q3q1_ran,max,min,range,skew,kur
6,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_A.csv,A,B,-86.28066528066527,-86.14545454545454,-87.0,2.9605426681290807,2.3590146999710404,2.2827442827442828,7.489838197620595,15.0,-0.03427724589439839,-88.0,-84.0,4.0,-82.0,-97.0,15.0,-0.19256744238397805,-0.052446807930453865
1,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_A.csv,A,D,-91.12432432432432,-91.05743243243244,-91.0,3.3810732092473534,2.8323739956172402,2.8216216216216217,6.63574386486014,17.0,-0.03705378476142588,-93.0,-88.0,5.0,-83.0,-99.0,16.0,-0.09997760958044695,-0.7137681477210833
2,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_A.csv,A,D,-89.68148148148148,-89.65230769230769,-90.0,3.625375061208619,3.0465843621399142,3.039506172839506,7.10545215046021,18.0,-0.04037507480334854,-93.0,-87.0,6.0,-81.0,-98.0,17.0,-0.012586840464289937,-0.7047365881514929
3,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_A.csv,A,D,-92.28253968253968,-92.17786561264822,-92.0,3.308863780322841,2.807659360040311,2.803174603174603,6.276010690248393,15.0,-0.03579883531535364,-95.0,-90.0,5.0,-86.0,-100.0,14.0,-0.2017997865703676,-0.8017094331393428
1,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_B.csv,B,A,-88.0448717948718,-88.18,-88.0,4.073825080605347,3.3245397764628555,3.3205128205128207,8.400292679595815,20.0,-0.04619566355465026,-91.0,-85.0,6.0,-79.0,-99.0,20.0,0.13989691192146447,-0.49317011184699533
2,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_B.csv,B,A,-87.49056603773585,-87.45703125,-88.0,4.324922893903658,3.518927257624304,3.5157232704402515,8.493031049129005,21.0,-0.04935523384687685,-90.0,-84.0,6.0,-77.0,-98.0,21.0,-0.08022391429675321,-0.5359359348476356
3,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_B.csv,B,A,-88.43921568627451,-88.25365853658536,-88.0,3.7901695488726888,3.1043752402921947,3.0509803921568626,8.60595995735959,21.0,-0.04277209509621779,-91.0,-86.0,5.0,-79.0,-99.0,20.0,-0.4606827007349111,-0.2629883583198991
4,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_B.csv,B,A,-85.11,-84.57916666666667,-82.0,5.9184451768210895,5.314933333333332,4.916666666666667,15.463216261157148,20.0,-0.06942278072770446,-91.0,-80.0,11.0,-78.0,-101.0,23.0,-0.6888259463742744,-0.9140777817206849
5,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_B.csv,B,A,-84.91967871485944,-84.42786069651741,-85.0,2.828707654236088,1.7825196367800493,1.7751004016064258,11.645606022675697,9.0,-0.03324343481603467,-86.0,-83.0,3.0,-82.0,-99.0,17.0,-2.996133009644757,11.817369044277369
6,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_B.csv,B,A,-84.86764705882354,-84.69817073170732,-86.0,2.992559545252726,2.4968281430219132,2.4411764705882355,7.511221045358096,15.0,-0.03521824919791748,-87.0,-82.0,5.0,-80.0,-96.0,16.0,-0.2590554707081118,-0.3705212800225186
