,distance,experiment,rx_label,tx_label,run,mean,trim_mean,median,std,dis1,dis2,conteo,cv,q1,q3,q3q1_ran,max,min,range,skew,kur,len
3681,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,2,-72.05333333333333,-71.75833333333334,-72.0,1.5781282865752362,1.0403555555555553,1.0133333333333334,7.0,-0.021902224554615605,-72.0,-71.0,1.0,-70.0,-78.0,8.0,-2.0290260700918834,4.49847466330819,150
3682,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,3,-72.21333333333334,-71.84166666666667,-72.0,1.6716724825422284,1.0631111111111147,0.9066666666666666,7.0,-0.023149083491629825,-72.0,-71.0,1.0,-70.0,-78.0,8.0,-1.9640821962168897,2.8297354549598994,150
3683,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,4,-76.47333333333333,-76.21666666666667,-76.0,2.481119818863157,2.115999999999999,1.9266666666666667,7.0,-0.032444248350577416,-79.0,-74.0,5.0,-74.0,-81.0,7.0,-0.7218850187020552,-0.948611399650356,150
3684,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,5,-84.58260869565217,-83.81720430107526,-82.0,5.488299980227742,3.952816635160679,3.7130434782608694,16.0,-0.06488686108010593,-85.0,-82.0,3.0,-77.0,-100.0,23.0,-1.3549770929536498,1.1933777954717222,150
3685,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,6,-83.89333333333333,-82.925,-82.0,7.293967065702693,6.0620444444444415,5.52,16.0,-0.08694334550662779,-85.0,-78.0,7.0,-77.0,-100.0,23.0,-0.9715138652847302,-0.5477401173517014,150
3686,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,7,-82.99333333333334,-81.96666666666667,-79.0,7.088485185300317,5.871022222222225,5.086666666666667,14.0,-0.0854102962322313,-85.0,-78.0,7.0,-77.0,-100.0,23.0,-1.0982272213768258,-0.33102441921608117,150
3687,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,8,-85.36666666666666,-84.83333333333333,-82.0,7.365158216600343,6.60977777777778,6.366666666666666,14.0,-0.08627674599688025,-93.0,-79.0,14.0,-77.0,-99.0,22.0,-0.4593612288635615,-1.347575923855097,150
3688,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,9,-80.66666666666667,-79.63333333333334,-78.0,5.311204090306533,4.155555555555552,3.466666666666667,10.0,-0.06584137302032891,-82.0,-77.0,5.0,-77.0,-96.0,19.0,-1.5006530600084627,0.8580353754227796,150
3689,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_A.csv,A,B,10,-81.51333333333334,-80.69166666666666,-79.0,5.1312593212799396,4.083022222222219,3.526666666666667,11.0,-0.06294993851247166,-82.0,-78.0,4.0,-77.0,-96.0,19.0,-1.2712331360683475,0.3269998899261517,150
3690,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,1,-74.95333333333333,-74.83333333333333,-74.0,1.377614685687627,1.1520888888888885,1.1266666666666667,6.0,-0.018379632024650365,-76.0,-74.0,2.0,-73.0,-80.0,7.0,-0.8640879436514795,0.5030122121297622,150
